,42 South Street,49 Beekman Street,100 Duane Street,14 N. Moore Street,75 Canal Street,25 Pitt Street,222 East 2 Street,340 East 14 Street,253 Lafayette Street,42 Great Jones Street,108 East 13 Street,132 West 10 Street,440 West 38th Street,220 West 37 Street,150 West 19 Street,142 West 31 Street,14 East 18 Street,234 East 29 Street,238 East 40 Street,782 Eighth Avenue,215 W 58th Street,131 Amsterdam Avenue,207 West 77th Street,120 West 83 Street,165 East 51 Street,221 East 75 Street,159 East 85 Street,1367 Fifth Avenue,1836 Third Avenue,242 East 111 Street,2282 Third Avenue,145 West 100th St.,500 West 113 Street,111 West 133 Street,415 West 125 Street,513 West 161 Street,29 Vermilyea Avenue,363 Broome Street,530 West 43 Street,157 E 67th St,248 West 143 Street,503 West 139 Street,515 West 181 Street,124 Liberty Street,33 West 43 Street,227 Sixth Avenue,518 West 170 Street,20 Rear Bloomfield Street,341 East 143 Street,330 East 150th Street,720 Melrose Ave.,1155 Washington Ave.,1160 Ogden Ave.,618 East 138 Street,1226 Seneca Ave.,1781 Monroe Ave.,1901 Sedgwick Ave.,460 Cross Bronx Expressway,453 E 176 Street,1215 Intervale Ave.,2417 Webster Ave.,925 East Tremont Ave.,2928 Briggs Ave.,1689 Story Ave.,1843 White Plains Rd.,1518 Williamsbridge Road,1454 Astor Ave.,3431 White Plains Road,3446 Eastchester Road,755 East 233 Street,21 Asch Loop,2924 Bruckner Blvd.,3929 East Tremont Ave.,169 Schofield Street,4550 Henry Hudson Parkway E.,2225 Belmont Ave.,3025 Bailey Ave.,655 Prospect Ave.,1214 Castle Hill Ave.,1259 Morris Ave.,1655 Washington Ave,2175 Walton Ave.,172 Tillary Street,409 State Street,74 Middagh Street,274 Hicks Street,252 Lorraine St.,31 Richards Street,436 39th St,788 Union Street,395 4th Ave.,530 11th Street,494 Dean Street,489 Saint John's Place,1352 Saint John's Place,423 Ralph Ave.,25 Rockaway Ave.,940 Dekalb Avenue,32 Ralph Ave.,495 Hancock Street,701 Park Avenue,206 Monroe Street,850 Bedford Ave.,160 Carlton Ave.,26 Hooper Street,161 South 2nd Street,187 Union Ave.,205 Greenpoint Ave.,75 Richardson Street,1201 Grand Street,43 Morgan Ave.,650 Hart Street,392 Himrod Street,582 Knickerbocker Ave.,617 Central Ave.,107 Watkins Street,885 Howard Ave.,165 Bradford st.,480 Sheffield Ave.,998 Liberty Ave.,799 Lincoln Ave.,5105 Snyder Ave.,491 Rogers Ave.,2900 Snyder Ave.,1210 Cortelyou Road,1367 Rogers Ave.,1307 Prospect Ave.,4210 12th Ave.,1336 60th Street,6630 3rd Avenue,9219 5th Ave.,1157 79th St.,8653 18th Ave.,126 Foster Ave.,2312 65th Street,1635 E. 14th Street,2429 86th Street,2510 Neptune Ave.,901 Avenue U,2929 W. 8th Street,1361 Rockaway Parkway,6405 Avenue N,1851 E. 48 Street,2732 E. 11th Street,2165 Gerritsen Ave.,Brooklyn Navy Yard Building 292,5113 4th Avenue,1815 Sterling Place,10-40 47th Ave.,41-24 51st Street,33-51 Greenpoint Avenue,11-15 37th Avenue,37-20 29th Street,30-89 21st Street,"42-06, 42-08 Astoria Blvd. South",22-63 35th St.,81-17 Northern Blvd.,97-28 43rd Avenue,27-12 Kearney Street,108-01 Horace Harding Exp.,64-18 Queens Blvd.,56-29 68th Street,86-53 Grand Avenue,111-02 Queens Blvd.,66-44 Myrtle Avenue,78-11 67th Road,119-11 14th Road,12-49 149th Street,40-18 Union Street,41-20 Murray Street,36-18 Francis Lewis Blvd.,40-18 214th Place,159-06 Union Turnpike,61-20 Utopia Parkway,64-04 Springfield Blvd.,44-01 244th Street,254-20 Union Turnpike,89-40 87th Street,103-17 98th Street,101-02 Jamaica Avenue,91-45 121st Street,107-12 Lefferts Blvd.,153-11 Hillside Avenue,104-12 Princeton Street,111-36 Merrick Blvd.,91-04 197th Street,218-44 97th Avenue,143-15 Rockaway Blvd.,117-11 196th Street,145-50 Springfield Blvd.,142-04 Brookville Blvd.,158-57 Cross Bay Blvd.,257 Beach 116th Street,402 B. 169 Street,92-20 Rockaway Beach Blvd.,56-07 Metropolitan Avenue,"16-15, 16-17, 16-19 Central Ave.",420A Weaver Ave,48-06 Rockaway Beach Blvd,14 Brighton Avenue,1189 Castleton Avenue,412 Broadway,875 Jewett Avenue,74 Broad Street,3067 Richmond Road,1573 Castleton Avenue,65 Harbor Road,1400 Richmond Avenue,3730 Victory Boulevard,256 Hylan Blvd.,278 McClean Avenue,1850 Clove Road,1592 Richmond Road,256 Nelson Ave.,345 Annadale Road,1560 Drumgoole Road West,7219 Amboy Road,1100 Rossville Ave,305 Front Street
QN08,2123.18,2130.2,2104.71,2073.11,1896.78,1881.48,1925.06,1876.57,2030.47,1974.1,1899.74,2015.44,1853.76,1837.34,1970.92,1831.65,1885.16,1725.06,1652.4,1907.38,1844.77,2028.55,2077.65,2187.44,1778.58,1919.83,1965.59,1844.67,1885.65,1774.94,1674.16,2116.33,2108.11,1969.57,1877.5,1986.36,1972.21,1936.24,1966.21,1799.59,1984.54,2070.21,1751.64,2197.92,1841.12,2165.06,1879.33,2175.94,1785.03,1899.36,1836.94,1766.53,1821.88,1647.34,1613.17,1745.49,1798.09,1532.31,1586.39,1660.28,1790.33,1599.56,1958.83,1446.93,1556.63,1459.3,1631.64,1828.06,1714.49,1796.78,1556.75,1260.33,1114.23,1900.45,2223.72,1762.19,2055.55,1726.81,1443.47,1813.46,1634.81,1763.31,1833.02,1901.21,2019.3,2125.27,1853.24,2011.6,1746.12,1665.46,1834.98,1774.91,1875.21,1694.62,1386.05,1365.96,1269.49,1610.65,1391.21,1597.48,1555.51,1748.49,1652.57,1773.24,1691.34,1705.03,1600.85,1545.85,1526.76,1329.22,1412.65,1370.82,1247.34,1280.29,1234.94,1134.4,1165.49,1087.18,1097.63,905.37,902.78,1204.75,1449.74,1355.36,1569.91,1451.22,1640.61,1673.26,1723.61,1981.98,2051.27,1879.8,1924.69,1696.61,1805.72,1662.11,1900.79,1911.45,1738.92,1798.53,1091.9,1467.57,1497.07,1587.59,1631.57,1754.81,1864.9,1314.59,1526.73,1382.56,1333.21,1512.67,1460.96,1376.86,1266.06,1334.35,1014.46,986.67,949.83,757.47,1237.84,1236.53,1012.4,735.87,1020.09,1040.36,1193.63,918.93,1010.59,950.25,754.6,808.39,599.35,713.72,738.38,938.83,826.68,879.34,697.17,726.54,614.32,487.1,446.22,436.75,180.33,412.41,506.57,420.58,97.77,354.48,393.82,769.57,1722.91,1694.73,1538.65,1238.21,1053.65,916.91,1332.79,2862.17,2877.87,2822.15,2757.39,2607.39,2939.8,2961.52,3159.11,2920.2,3106.03,2449.03,2393.86,2396.74,2617.64,3444.35,3471.11,3761.95,3933.27,3559.47,2631.33
BX28,1894.39,1874.63,1935.64,2020.57,1809.95,1751.58,1728.54,1601.29,1843.17,1762.19,1687.83,1813.7,1615.47,1594.41,1769.19,1629.91,1673.24,1513.15,1455.26,1531.01,1415.7,1330.41,1228.08,1293.1,1402.71,1200.19,1155.44,963.04,1046.74,936.03,835.25,1233.82,1078.78,867.49,922.08,780.91,426.01,1897.55,1486.72,1306.23,804.03,895.82,546.59,1963.19,1477.25,1956.44,674.29,1830.49,758.97,811.02,726.09,634.11,524.37,779.8,801.85,443.64,309.45,447.77,417.68,636.4,304.14,521.8,125.22,701.43,612.82,716.91,663.29,398.49,583.76,478.27,732.59,901.35,871.66,1302.66,410.06,445.48,295.77,807.48,675.21,555.02,553.11,232.84,2108.25,2286.5,2125.88,2264.34,2344.25,2370.67,2527.89,2419.13,2462.79,2535.52,2420.64,2407.68,2674.36,2501.53,2275.45,2371.41,2317.63,2531.46,2267.15,2362.33,2192.23,2198.88,2141.1,2104.97,2115.84,1774.11,1997.22,1946.93,2142.16,2215.28,2090.08,2205.8,2240.9,2406.43,2579.62,2312.36,2410.75,2241.15,2348.78,2653.99,2592.51,2764.77,2712.92,2860.63,2549.5,2696.52,2746.87,2569.4,2794.19,2813.97,2868.17,2719.87,2845.06,2965.02,2960.32,3264.94,3010.59,3188.0,2541.15,2916.81,2946.32,3062.53,3094.47,2136.77,2598.87,2532.6,1606.59,1556.67,1630.33,1448.7,1397.0,1271.89,1278.2,1244.38,1432.72,1616.65,1488.52,1595.33,1591.71,1759.96,1738.17,1739.28,2051.73,1989.17,1346.15,1108.79,1378.89,1425.57,1368.96,1393.43,1725.28,1532.35,1485.47,1633.44,1772.21,2024.87,2007.37,1872.06,1794.25,1835.82,1796.68,1761.18,1982.25,1719.59,1645.11,1867.94,1819.46,2137.04,2122.87,2244.5,3197.84,3169.66,3013.58,1943.19,2804.59,1319.78,3083.73,3118.71,2789.36,2846.4,2757.39,3261.92,3164.94,2702.34,2684.88,2571.69,2703.19,3168.88,3133.14,3051.15,3274.89,3596.9,3272.39,3250.7,3276.83,3037.71,3351.18
QN55,1872.67,1776.72,1811.35,1821.87,1646.27,1630.97,1674.55,1626.81,1779.96,1724.34,1649.98,1765.68,1604.0,1587.58,1721.16,1581.89,1635.39,1475.3,1402.64,1657.62,1595.0,1778.79,1827.89,1937.68,1528.81,1670.07,1715.83,1594.91,1635.89,1525.18,1424.4,1866.57,1858.35,1719.81,1627.74,1790.43,1894.52,1685.73,1716.45,1549.83,1734.78,1820.45,1742.7,1862.24,1591.36,1914.55,1803.62,1926.18,1535.27,1649.6,1593.93,1757.59,1679.96,1397.58,1581.04,1736.55,1783.04,1523.38,1577.46,1640.74,1781.4,1590.63,1948.49,1414.8,1547.7,1370.47,1500.35,1744.45,1655.95,1847.27,1607.24,1321.67,1339.22,1936.08,2159.66,1753.26,1977.86,1573.05,1337.98,1789.33,1625.88,1754.38,1416.8,1565.54,1603.08,1709.05,1517.57,1675.93,1410.44,1329.78,1499.31,1439.24,1502.21,1358.94,1050.37,1003.61,853.27,1194.43,974.99,1190.9,1139.29,1332.27,1236.35,1357.02,1303.2,1401.41,1184.64,1296.09,1277.0,1019.58,996.43,954.6,831.12,864.07,818.72,790.69,829.82,696.95,761.95,514.74,567.11,869.07,1114.07,1019.68,1234.23,1115.55,1304.94,1337.59,1387.93,1646.3,1715.6,1544.13,1589.01,1360.93,1470.05,1326.43,1590.8,1601.46,1428.9,1488.54,756.22,1131.89,1161.4,1277.6,1309.55,1338.59,1529.22,970.89,1276.97,1132.79,1083.45,1262.9,1211.2,1127.1,1016.3,1084.59,764.7,736.9,700.07,507.71,988.08,939.0,762.64,486.11,603.88,639.27,943.86,869.1,760.82,851.34,964.27,1070.0,563.63,720.99,936.18,1136.62,1101.54,463.13,280.95,310.32,198.11,70.88,501.08,295.11,384.97,751.66,935.13,276.22,526.32,605.73,629.17,459.58,1412.92,1384.74,1228.66,837.11,1228.64,1116.26,1507.78,2526.5,2542.19,2486.47,2421.71,2271.72,2604.12,2625.85,2823.44,2584.52,2770.35,2113.36,2058.18,2061.06,2281.96,3108.67,3135.43,3426.27,3597.59,3223.79,2295.65
BK50,1532.61,1587.44,1614.04,1630.87,1548.42,1533.11,1576.7,1662.97,1682.11,1704.08,1786.52,1843.8,1944.45,1928.04,1968.08,1922.34,1848.01,1815.76,1743.09,1998.08,1924.71,2108.49,2157.6,2267.38,1869.27,1999.77,2045.53,2244.52,2221.32,2284.17,2183.39,2307.78,2454.36,2478.8,2386.73,2549.42,2653.51,1587.77,2056.9,1879.54,2493.77,2579.44,2554.96,1475.59,1931.82,1779.86,2562.61,1864.32,2294.26,2408.59,2352.92,2558.73,2438.95,2156.56,2385.42,2548.81,2542.03,2335.64,2389.72,2429.71,2593.66,2402.89,2760.75,2227.06,2359.96,2182.73,2312.61,2556.71,2468.21,2659.53,2419.5,2133.93,2151.48,2748.34,2918.64,2565.52,2736.85,2332.04,2150.24,2548.32,2438.14,2566.64,1282.2,1178.89,1424.33,1419.62,1130.92,1289.28,1023.79,943.14,1112.66,1052.59,1152.89,972.29,663.73,643.64,655.82,1046.37,780.13,927.25,1041.44,1092.55,1138.5,1142.91,1205.35,1303.56,1086.78,1400.22,1207.42,1130.33,996.72,928.99,923.73,922.1,706.51,490.21,443.17,600.47,468.98,571.03,467.75,482.42,727.42,633.04,847.59,728.9,918.29,950.94,1001.29,1259.66,1328.95,1157.48,1133.33,974.29,949.6,805.98,1077.16,1161.86,908.45,1048.94,174.27,611.44,640.95,838.01,789.1,1240.74,1142.57,632.28,1617.43,1540.97,1413.15,1826.49,1741.72,1840.96,1743.13,1811.42,1568.66,1549.16,1512.33,1319.97,1297.35,1169.11,1353.97,1298.37,883.22,1184.4,1756.12,1681.36,1573.08,1663.6,1776.53,1882.26,1375.89,1533.25,1748.44,1948.88,1913.8,827.18,804.18,915.0,987.52,898.82,1290.5,1100.4,1228.57,1595.26,1662.16,1038.5,1323.25,1182.72,1206.16,700.45,1109.15,945.14,1305.6,1007.63,1822.06,1928.52,1636.47,2139.85,2155.54,2099.83,2035.06,1885.07,2217.48,2239.2,2436.79,2197.87,2383.7,1726.71,1671.54,1674.41,1895.32,2722.02,2748.79,3039.63,3210.95,2837.15,1909.01
BX41,1774.19,1754.43,1815.43,1900.37,1689.74,1631.38,1608.33,1481.08,1722.97,1641.99,1567.63,1693.5,1458.24,1445.75,1648.98,1509.71,1553.04,1392.95,1335.06,1410.81,1295.5,1173.17,1070.84,1135.86,1282.5,1079.98,1035.24,842.84,926.54,815.83,715.04,1076.58,921.54,747.29,764.84,624.08,454.04,1777.34,1329.48,1186.02,646.79,738.58,389.36,1842.98,1357.05,1799.2,517.06,1673.25,638.77,645.29,490.03,398.05,394.14,659.6,644.62,207.58,188.06,243.81,213.71,432.44,283.4,341.45,363.56,544.19,530.97,680.25,835.93,657.68,842.95,737.46,959.02,744.11,714.42,1302.72,666.47,407.85,455.4,603.52,517.97,318.97,349.15,153.29,1988.04,2166.29,2005.68,2144.14,2224.04,2250.46,2407.69,2298.93,2342.58,2415.31,2300.44,2287.48,2517.13,2373.89,2149.32,2251.21,2197.43,2411.26,2146.94,2242.12,2072.02,2078.68,2020.9,1984.76,1995.63,1653.9,1877.02,1826.72,2021.96,2095.08,1969.88,2085.59,2114.77,2249.2,2422.38,2155.12,2253.52,2083.92,2191.55,2496.75,2472.3,2644.56,2592.72,2740.43,2429.3,2576.32,2626.66,2449.2,2673.99,2693.77,2747.97,2599.66,2724.86,2844.81,2840.12,3144.74,2890.39,3067.8,2383.91,2759.57,2789.08,2905.29,2937.23,2016.57,2478.67,2375.36,1486.39,1436.47,1510.13,1328.5,1276.79,1151.69,1157.99,1124.18,1312.52,1459.41,1331.28,1438.09,1471.51,1639.76,1596.01,1582.04,1894.74,1868.96,1188.92,951.55,1221.65,1268.33,1211.72,1236.19,1568.04,1375.11,1328.24,1476.2,1614.97,1867.63,1850.13,1714.82,1637.01,1678.58,1639.44,1603.94,1825.01,1562.35,1487.87,1710.7,1662.23,1979.81,1965.64,2087.26,3040.6,3012.43,2856.35,1822.99,2647.35,1162.55,2926.49,2961.47,2632.12,2689.16,2600.15,3104.69,3007.71,2545.1,2527.64,2414.46,2545.95,3048.68,3012.94,2893.91,3117.65,3439.67,3115.16,3093.46,3119.59,2880.48,3201.09
QN26,1567.42,1574.43,1548.94,1517.34,1341.01,1325.71,1369.29,1375.4,1474.7,1472.94,1398.57,1511.0,1320.27,1267.88,1466.49,1327.21,1383.99,1223.9,1151.23,1204.49,1091.64,1275.42,1324.53,1434.31,1048.88,1166.7,1212.46,1239.48,1280.46,1169.75,1068.97,1474.71,1502.92,1364.39,1272.31,1435.0,1539.1,1380.47,1253.83,1046.47,1379.35,1465.02,1461.54,1662.98,1150.72,1609.29,1448.2,1649.43,1179.84,1294.17,1238.5,1444.31,1324.53,1042.15,1271.01,1524.73,1427.61,1311.56,1365.64,1315.3,1569.58,1378.81,1736.67,1202.98,1335.88,1158.65,1288.53,1532.63,1444.14,1635.45,1395.43,1109.85,1127.41,1724.26,1804.23,1541.44,1622.44,1217.62,1126.16,1433.91,1414.06,1542.56,1283.91,1489.82,1470.19,1576.16,1642.18,1741.66,1825.82,1562.76,1666.11,1672.22,1462.24,1449.28,1561.7,1388.76,1162.67,1328.82,1275.05,1495.39,1224.56,1356.8,1186.7,1267.23,1135.58,1169.97,1110.31,977.31,991.7,834.16,1029.39,1172.7,977.31,1093.02,1128.12,1303.97,1477.15,1209.9,1308.29,1147.55,1255.18,1560.39,1634.1,1711.0,1925.55,1806.86,1800.23,1995.15,2045.5,2001.27,2198.45,2201.69,2246.58,2018.5,2161.36,2017.75,2282.11,2292.78,2120.21,2179.86,1447.54,1823.21,1852.71,1968.92,2000.86,1241.01,1896.8,1428.4,981.1,625.74,764.67,820.68,768.98,764.85,644.41,691.22,283.84,260.0,289.67,284.43,541.76,647.19,396.6,613.26,910.42,681.07,714.06,657.28,434.95,556.61,810.61,921.94,694.93,575.77,788.12,988.57,1135.7,931.26,913.76,778.45,700.64,742.21,703.07,667.58,888.64,954.8,1008.6,774.33,1030.0,1088.08,1111.51,1150.89,2104.23,2076.06,1919.98,830.42,1710.98,904.44,1990.12,3028.7,2925.94,2982.97,2929.07,2773.92,3106.33,2838.92,2915.42,2940.16,3166.18,2615.56,2574.68,2568.42,2784.17,3623.38,3637.64,3832.6,3884.18,3619.62,2797.86
BK68,728.46,614.23,648.85,649.39,578.84,669.71,713.29,799.56,667.32,706.56,800.35,845.47,1218.7,1202.29,974.38,1073.93,871.85,985.73,1047.37,1272.33,1228.98,1412.76,1461.87,1571.65,1146.43,1304.04,1349.8,1548.8,1525.59,1625.72,1649.8,1612.05,1758.63,1868.18,1768.81,2015.83,2119.92,553.03,1302.59,1183.81,1912.64,1934.69,2013.69,702.78,1206.07,777.28,2029.02,956.41,1760.67,1875.0,1819.33,2025.14,1905.36,1622.97,1851.83,2179.01,2008.44,2025.75,2079.83,1896.12,2269.74,2026.31,2323.21,1972.08,2172.52,2167.62,2297.5,2446.73,2453.1,2560.84,2404.39,2118.82,2055.04,2733.23,2385.05,2219.7,2203.26,1798.45,2112.65,2014.73,2072.3,2127.31,245.6,246.12,458.36,528.07,476.88,576.36,612.31,378.75,422.41,495.14,296.87,293.99,597.16,571.4,654.76,428.24,568.75,417.77,355.04,281.41,254.59,125.99,232.95,485.54,323.13,624.65,465.91,613.74,493.95,502.86,667.87,637.75,690.03,719.92,774.73,765.58,863.97,897.2,1041.13,739.1,478.82,651.08,792.45,746.94,623.15,798.85,890.22,787.77,984.94,1046.41,1091.29,863.22,1006.14,1108.36,1148.17,1438.73,1153.94,1331.35,984.52,1139.97,1093.42,1391.79,1211.92,357.56,683.29,761.74,875.53,947.89,717.42,1105.94,1045.99,1176.74,1209.54,1277.83,1035.07,1187.85,1262.2,1176.49,829.2,878.43,1042.9,1363.71,798.06,1013.31,1711.72,1666.25,1432.61,1554.27,1643.47,1749.2,1574.5,1403.03,1615.38,1815.82,1962.96,1095.26,1232.57,1106.73,1271.35,1317.49,1470.41,1453.48,1674.55,1764.99,1835.86,1533.4,1815.9,1677.63,1701.06,1202.36,1971.19,1807.18,1971.44,727.84,2316.97,1857.72,2302.31,1847.66,1868.51,1812.79,1748.02,1592.88,1925.28,1952.16,2047.48,1910.83,2096.66,1434.51,1387.39,1387.37,1603.12,2437.88,2456.59,2747.43,2923.91,2550.1,1616.81
QN38,1834.25,1841.26,1815.77,1784.17,1607.85,1592.54,1636.13,1587.63,1741.53,1685.17,1610.8,1726.5,1564.83,1548.41,1681.99,1542.71,1596.22,1436.13,1363.47,1618.45,1555.83,1739.61,1788.72,1898.5,1489.64,1630.89,1676.65,1632.36,1673.34,1562.63,1461.84,1904.01,1895.8,1757.26,1665.19,1710.24,1696.09,1647.31,1677.27,1510.66,1766.36,1857.89,1475.52,1929.82,1552.19,1876.13,1603.22,1887.0,1572.72,1644.69,1560.83,1490.41,1545.76,1435.02,1337.05,1469.37,1521.97,1256.2,1310.27,1384.16,1514.21,1323.44,1682.71,1170.81,1280.52,1183.19,1355.52,1551.94,1438.37,1520.66,1280.63,984.21,838.11,1624.33,1947.6,1486.07,1779.43,1450.69,1167.35,1537.34,1358.7,1487.2,1550.74,1720.53,1737.03,1842.99,1909.01,2008.49,1888.19,1792.49,1896.82,1901.95,1691.97,1601.0,1367.19,1223.95,999.39,1335.36,1121.11,1337.02,1280.22,1473.2,1377.28,1497.94,1402.41,1416.1,1325.56,1256.91,1237.82,1040.29,1137.35,1095.53,972.05,1005.0,964.84,1099.26,1272.45,1005.19,1103.58,933.98,1041.62,1346.82,1591.82,1497.44,1711.98,1593.3,1782.69,1815.34,1865.69,2124.05,2193.35,2021.88,2066.76,1838.69,1947.8,1804.18,2068.55,2079.22,1906.65,1966.29,1233.98,1609.64,1639.15,1755.36,1787.3,1479.52,2006.97,1225.43,1237.8,1112.91,1044.27,1300.35,1248.65,1164.55,1053.74,1122.04,802.15,697.73,737.52,501.42,948.9,947.6,723.47,432.11,744.8,742.52,892.17,642.81,489.83,464.99,417.02,532.27,132.51,131.65,402.32,602.76,663.34,717.7,700.2,564.89,487.08,528.65,310.49,454.01,624.23,466.25,548.69,560.77,679.96,874.51,897.95,937.33,1890.67,1862.49,1706.41,940.36,1497.42,640.79,1776.56,3004.25,3019.94,2964.23,2899.46,2749.47,3081.87,3103.6,3182.25,3062.27,3248.1,2591.11,2535.94,2538.81,2759.71,3586.42,3613.19,3904.02,4075.34,3701.54,2773.4
QN52,1880.11,1887.12,1861.63,1830.03,1653.7,1638.4,1681.98,1640.11,1787.39,1737.65,1663.28,1778.98,1617.31,1580.57,1734.47,1595.19,1648.7,1488.61,1415.95,1517.18,1404.33,1588.11,1637.22,1747.0,1361.57,1479.4,1525.16,1538.55,1579.53,1468.82,1368.04,1787.4,1801.99,1663.46,1571.38,1617.16,1603.01,1693.16,1566.52,1359.16,1673.28,1764.09,1382.44,1975.67,1463.41,1921.98,1510.14,1939.48,1475.31,1528.41,1444.55,1397.33,1452.68,1341.22,1220.78,1376.29,1428.89,1163.11,1217.19,1280.47,1421.13,1230.36,1588.23,1054.54,1187.43,1010.21,1140.09,1384.18,1295.69,1443.57,1203.54,907.12,761.02,1547.24,1817.77,1392.99,1686.35,1334.42,977.71,1444.26,1265.61,1394.11,1596.6,1802.51,1782.88,1888.85,1954.87,2054.35,2138.51,1875.45,1978.8,1984.91,1774.93,1761.97,1684.61,1541.37,1316.81,1587.44,1438.53,1654.43,1483.18,1669.49,1499.39,1579.92,1448.27,1468.58,1402.84,1290.0,1290.31,1092.77,1288.0,1412.95,1235.92,1322.42,1282.26,1416.68,1589.87,1322.61,1421.0,1251.4,1359.03,1664.24,1909.24,1814.85,2029.4,1910.71,2100.11,2132.76,2183.1,2313.96,2510.77,2339.3,2384.18,2156.1,2265.22,2121.6,2385.97,2396.63,2224.07,2283.71,1551.39,1927.06,1956.57,2072.77,2104.72,1541.91,2209.49,1542.85,1290.28,938.43,1077.36,1184.72,1133.01,1070.74,959.94,1028.23,647.87,572.69,634.05,551.37,854.45,959.88,709.29,749.53,1062.22,953.2,574.36,450.54,185.41,207.05,275.23,424.5,452.16,244.43,461.13,667.16,816.2,1035.12,1017.61,882.31,804.5,846.07,628.94,771.43,942.68,670.82,689.09,878.19,843.81,1161.39,1147.22,1254.75,2208.09,2179.91,2023.83,1111.24,1814.84,563.7,2093.97,3321.67,3238.63,3281.64,3216.88,3066.89,3399.29,3151.61,3228.11,3252.85,3478.87,2908.53,2853.35,2856.23,3077.13,3903.84,3930.6,4086.54,4112.67,3873.55,3090.82
BK44,1342.24,1451.59,1423.68,1440.5,1590.56,1676.72,1720.31,1805.31,1586.37,1660.04,1730.33,1717.94,2023.03,2010.55,1826.37,1983.44,1801.84,1928.65,1990.57,2202.31,2238.46,2335.43,2419.75,2539.5,2093.67,2265.15,2310.91,2531.47,2462.43,2569.11,2534.93,2594.72,2733.36,2805.71,2708.24,2859.75,3005.6,1564.74,2020.13,2192.25,2847.71,2776.08,2892.96,1285.23,2136.05,1589.5,2956.91,1673.95,2724.72,2839.05,2783.38,2989.19,2869.41,2587.03,2815.89,2977.8,2972.49,2764.63,2818.7,2860.18,3022.65,2831.88,3189.74,2656.05,2788.95,2611.72,2741.6,2985.7,2897.2,3088.52,2848.49,2562.92,2580.47,3177.33,3234.92,2994.5,3167.31,2762.5,2579.23,2978.78,2867.13,2995.63,1316.27,1163.7,1290.78,1260.24,940.55,1098.92,783.46,938.91,949.91,868.8,1155.89,975.29,913.6,1000.61,1086.29,1314.56,1210.59,1138.66,1264.58,1126.63,1248.31,1176.99,1248.45,1501.05,1286.59,1640.16,1472.55,1560.79,1427.18,1359.45,1354.2,1352.56,1136.97,920.67,818.84,1030.94,899.45,1001.49,898.22,585.98,735.45,641.07,659.65,487.73,811.16,703.56,585.9,765.84,719.47,608.47,465.03,470.88,383.04,239.43,358.91,596.09,156.89,484.65,709.26,454.37,412.51,379.75,167.34,1373.06,822.2,989.4,1891.04,1963.39,1732.93,2121.44,2061.49,2192.24,2173.59,2241.88,1999.13,1978.15,1941.32,1748.95,1727.81,1599.57,1784.44,1727.36,1313.68,1614.86,2185.11,2110.34,2002.07,2092.58,2205.52,2311.24,1804.88,1962.24,2177.43,2377.87,2342.79,1257.64,1234.65,1345.46,1417.99,1329.28,1720.96,1530.86,1657.56,2024.25,2091.15,1467.49,1752.24,1611.71,1635.15,1129.43,1140.93,976.92,1337.38,1438.09,1867.23,2357.51,1668.25,1530.36,1546.06,1490.34,1425.58,1275.58,1607.99,1629.71,1827.3,1588.39,1774.22,1117.22,1062.05,1064.93,1285.83,2112.54,2139.3,2430.14,2601.46,2227.66,1299.52
