nta,boro_name,name,shape_area,population,population_density,engine_incident_average_duration_first_shift,engine_incident_average_duration_second_shift,ladder_incident_average_duration_first_shift,ladder_incident_average_duration_second_shift,rescue_incident_average_duration_first_shift,rescue_incident_average_duration_second_shift,squad_incident_average_duration_first_shift,squad_incident_average_duration_second_shift,hazardous_incident_average_duration_first_shift,hazardous_incident_average_duration_second_shift,engine_needed_per_density_first_shift,engine_needed_per_density_second_shift,ladder_needed_per_density_first_shift,ladder_needed_per_density_second_shift,rescue_needed_per_density_first_shift,rescue_needed_per_density_second_shift,squad_needed_per_density_first_shift,squad_needed_per_density_second_shift,hazardous_needed_per_density_first_shift,hazardous_needed_per_density_second_shift
QN08,Queens,St. Albans,0.22336119035706842,0.36707761108341264,0.10991775628302636,1536.2742914979758,1774.6601941747572,1483.6205083260297,1757.1985815602836,1721.5955056179776,2102.3,1512.1,2308.923076923077,1561.0,2362.3207547169814,0.10811863039323386,0.08812754640350322,0.1060582187440717,0.09071857282209879,0.10014271848581395,0.08278194730036836,0.09079310349072658,0.08828797276224744,0.09779494452263857,0.10534925080073054
BX28,Bronx,Van Cortlandt Village,0.062466976234585574,0.3784616779223134,0.34180944078719844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN55,Queens,South Ozone Park,0.2390587926694577,0.5731919201075707,0.16112830200480266,2063.5206561360874,2088.8034334763947,2061.7699579831933,2132.0707506471094,1695.0243902439024,1654.8148148148148,2335.164835164835,1211.5,2101.6585365853657,2124.2241379310344,0.16909673982280604,0.11696938465648608,0.16614506313399477,0.11667319608589667,0.17323475678380576,0.20982692445598852,0.19390815539630482,0.07650701382681749,0.183615023660796,0.1082294341940345
BK50,Brooklyn,Canarsie,0.2379030301327875,0.6322274093882669,0.1785283561613175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BX41,Bronx,Mount Hope,0.028422294156459943,0.3913565698227802,0.6164307806564818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN26,Queens,North Corona,0.03864301623008317,0.39309401864358123,0.5061189129800453,8328.516415261756,2131.365535248042,7903.5664,1760.5049504950496,7704.224,1391.357142857143,6379.075471698113,1193.2,1347.4651162790697,1342.8363636363636,0.5302902962208377,0.3522568197287146,0.499591304098744,0.3725489811730291,0.6047634779904371,0.24916087721592883,0.5172671667547278,0.29201446544090565,0.4410087197211719,0.47007206631950677
BK68,Brooklyn,Fort Greene,0.03391360950840749,0.19700403390291438,0.27705500560758467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QN38,Queens,Pomonok-Flushing Heights-Hillcrest,0.10341542426807707,0.25709710072670683,0.1534567586390306,1541.5007496251874,2072.7012987012986,1566.0172626387177,2412.333969465649,1200.0149253731342,2199.9166666666665,1530.1333333333334,784.6666666666666,1341.1923076923076,2179.4893617021276,0.14549508025495295,0.11490848953365121,0.15026520290539888,0.11200464058420204,0.15027372649269877,0.09900697056594206,0.20360304430899373,0.08122473935495568,0.12361887285352088,0.18622257315526428
QN52,Queens,East Flushing,0.07424351975938126,0.20382540905588542,0.1604135847176053,2194.8934280639432,1567.4756380510441,2095.340874811463,1859.7348837209302,2534.596153846154,1608.6,2236.5,1794.7142857142858,1927.1142857142856,1083.9545454545455,0.16192908029940012,0.12115311943529719,0.1619739137930106,0.12119010597804823,0.153782025577566,0.05439368855527859,0.16704126291814583,0.12494793872155359,0.21941860807044583,0.11493468927696918
BK44,Brooklyn,Madison,0.06779327165974708,0.2939838946048437,0.2489005346245212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
